;x,z,eta,B,A,P,Rh,sigma,xl,xr,beta
4600.0,-4.68,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
4700.0,-4.76,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
4700.0,-4.76,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
4700.0,-4.76,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
4700.0,-4.76,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
4700.0,-4.76,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
4700.0,-4.76,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
4700.0,-4.76,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
4700.0,-4.76,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
4700.0,-4.76,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
4700.0,-4.76,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
4700.0,-4.76,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
4700.0,-4.76,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
4700.0,-4.76,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
4700.0,-4.76,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
4700.0,-4.76,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
4700.0,-4.76,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
4700.0,-4.76,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
4700.0,-4.76,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
4700.0,-4.76,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
4700.0,-4.76,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
4800.0,-4.84,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
4800.0,-4.84,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
4800.0,-4.84,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
4800.0,-4.84,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
4800.0,-4.84,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
4800.0,-4.84,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
4800.0,-4.84,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
4800.0,-4.84,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
4800.0,-4.84,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
4800.0,-4.84,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
4800.0,-4.84,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
4800.0,-4.84,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
4800.0,-4.84,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
4800.0,-4.84,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
4800.0,-4.84,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
4800.0,-4.84,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
4800.0,-4.84,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
4800.0,-4.84,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
4800.0,-4.84,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
4800.0,-4.84,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
4900.0,-4.92,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
4900.0,-4.92,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
4900.0,-4.92,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
4900.0,-4.92,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
4900.0,-4.92,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
4900.0,-4.92,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
4900.0,-4.92,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
4900.0,-4.92,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
4900.0,-4.92,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
4900.0,-4.92,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
4900.0,-4.92,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
4900.0,-4.92,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
4900.0,-4.92,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
4900.0,-4.92,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
4900.0,-4.92,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
4900.0,-4.92,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
4900.0,-4.92,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
4900.0,-4.92,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
4900.0,-4.92,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
4900.0,-4.92,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
5000.0,-5.0,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
5000.0,-5.0,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
5000.0,-5.0,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
5000.0,-5.0,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
5000.0,-5.0,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
5000.0,-5.0,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
5000.0,-5.0,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
5000.0,-5.0,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
5000.0,-5.0,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
5000.0,-5.0,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
5000.0,-5.0,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
5000.0,-5.0,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
5000.0,-5.0,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
5000.0,-5.0,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
5000.0,-5.0,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
5000.0,-5.0,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
5000.0,-5.0,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
5000.0,-5.0,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
5000.0,-5.0,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
5000.0,-5.0,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
